"Town","FIPS","Year","Age Range","Insurance Status","Measure Type","Variable","Value"
"Andover","0901301080","2008-2012","All","With Private Health Insurance","Number","Health Insurance",2776
"Andover","0901301080","2008-2012","All","With Private Health Insurance","Number","Margins of Error",243
"Andover","0901301080","2008-2012","All","With Private Health Insurance","Percent","Health Insurance",87.2
"Andover","0901301080","2008-2012","All","With Private Health Insurance","Percent","Margins of Error",6.5
"Andover","0901301080","2008-2012","All","With Public Health Insurance","Number","Health Insurance",549
"Andover","0901301080","2008-2012","All","With Public Health Insurance","Number","Margins of Error",122
"Andover","0901301080","2008-2012","All","With Public Health Insurance","Percent","Health Insurance",17.2
"Andover","0901301080","2008-2012","All","With Public Health Insurance","Percent","Margins of Error",3.7
"Andover","0901301080","2008-2012","All","Without Health Insurance","Number","Health Insurance",130
"Andover","0901301080","2008-2012","All","Without Health Insurance","Number","Margins of Error",91
"Andover","0901301080","2008-2012","All","Without Health Insurance","Percent","Health Insurance",4.1
"Andover","0901301080","2008-2012","All","Without Health Insurance","Percent","Margins of Error",2.9
"Andover","0901301080","2008-2012","Under 18","With Private Health Insurance","Number","Health Insurance",685
"Andover","0901301080","2008-2012","Under 18","With Private Health Insurance","Number","Margins of Error",134
"Andover","0901301080","2008-2012","Under 18","With Private Health Insurance","Percent","Health Insurance",88.4
"Andover","0901301080","2008-2012","Under 18","With Private Health Insurance","Percent","Margins of Error",5.8
"Andover","0901301080","2008-2012","Under 18","With Public Health Insurance","Number","Health Insurance",100
"Andover","0901301080","2008-2012","Under 18","With Public Health Insurance","Number","Margins of Error",71
"Andover","0901301080","2008-2012","Under 18","With Public Health Insurance","Percent","Health Insurance",12.9
"Andover","0901301080","2008-2012","Under 18","With Public Health Insurance","Percent","Margins of Error",8.9
"Andover","0901301080","2008-2012","Under 18","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2008-2012","Under 18","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2008-2012","Under 18","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2008-2012","Under 18","Without Health Insurance","Percent","Margins of Error",3.1
"Andover","0901301080","2008-2012","18-64","With Private Health Insurance","Number","Health Insurance",1821
"Andover","0901301080","2008-2012","18-64","With Private Health Insurance","Number","Margins of Error",184
"Andover","0901301080","2008-2012","18-64","With Private Health Insurance","Percent","Health Insurance",89.5
"Andover","0901301080","2008-2012","18-64","With Private Health Insurance","Percent","Margins of Error",1.1
"Andover","0901301080","2008-2012","18-64","With Public Health Insurance","Number","Health Insurance",134
"Andover","0901301080","2008-2012","18-64","With Public Health Insurance","Number","Margins of Error",59
"Andover","0901301080","2008-2012","18-64","With Public Health Insurance","Percent","Health Insurance",6.6
"Andover","0901301080","2008-2012","18-64","With Public Health Insurance","Percent","Margins of Error",2.8
"Andover","0901301080","2008-2012","18-64","Without Health Insurance","Number","Health Insurance",130
"Andover","0901301080","2008-2012","18-64","Without Health Insurance","Number","Margins of Error",85
"Andover","0901301080","2008-2012","18-64","Without Health Insurance","Percent","Health Insurance",6.4
"Andover","0901301080","2008-2012","18-64","Without Health Insurance","Percent","Margins of Error",4.1
"Andover","0901301080","2008-2012","65+","With Private Health Insurance","Number","Health Insurance",270
"Andover","0901301080","2008-2012","65+","With Private Health Insurance","Number","Margins of Error",85
"Andover","0901301080","2008-2012","65+","With Private Health Insurance","Percent","Health Insurance",71.8
"Andover","0901301080","2008-2012","65+","With Private Health Insurance","Percent","Margins of Error",12.1
"Andover","0901301080","2008-2012","65+","With Public Health Insurance","Number","Health Insurance",315
"Andover","0901301080","2008-2012","65+","With Public Health Insurance","Number","Margins of Error",78
"Andover","0901301080","2008-2012","65+","With Public Health Insurance","Percent","Health Insurance",83.8
"Andover","0901301080","2008-2012","65+","With Public Health Insurance","Percent","Margins of Error",30.5
"Andover","0901301080","2008-2012","65+","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2008-2012","65+","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2008-2012","65+","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2008-2012","65+","Without Health Insurance","Percent","Margins of Error",6.4
"Andover","0901301080","2009-2013","All","With Private Health Insurance","Number","Health Insurance",2640
"Andover","0901301080","2009-2013","All","With Private Health Insurance","Number","Margins of Error",232
"Andover","0901301080","2009-2013","All","With Private Health Insurance","Percent","Health Insurance",85.3
"Andover","0901301080","2009-2013","All","With Private Health Insurance","Percent","Margins of Error",6.3
"Andover","0901301080","2009-2013","All","With Public Health Insurance","Number","Health Insurance",657
