Town,FIPS,Year,Age Range,Insurance Status,Measure Type,Variable,Value
Andover,901301080.0,2010-2014,Under 18,With Private Health Insurance,Percent,Health Insurance,84.9
Andover,901301080.0,2009-2013,18-64,Without Health Insurance,Percent,Health Insurance,6.1
Andover,901301080.0,2009-2013,All,With Private Health Insurance,Percent,Margins of Error,6.3
Andover,901301080.0,2012-2016,18-64,With Private Health Insurance,Percent,Health Insurance,92.2
Ansonia,900901220.0,2011-2015,18-64,With Public Health Insurance,Number,Margins of Error,466.0
Ansonia,900901220.0,2009-2013,Under 18,With Public Health Insurance,Number,Margins of Error,501.0
Ansonia,900901220.0,2013-2017,Under 18,With Private Health Insurance,Number,Health Insurance,2576.0
Andover,901301080.0,2014-2018,65+,With Private Health Insurance,Percent,Health Insurance,74.8
Ansonia,900901220.0,2011-2015,All,Without Health Insurance,Number,Margins of Error,316.0
Andover,901301080.0,2008-2012,Under 18,With Public Health Insurance,Percent,Health Insurance,12.9
Andover,901301080.0,2014-2018,All,With Public Health Insurance,Percent,Health Insurance,20.7
Ansonia,900901220.0,2014-2018,All,With Private Health Insurance,Percent,Health Insurance,60.8
Ansonia,900901220.0,2013-2017,Under 18,With Private Health Insurance,Number,Margins of Error,498.0
Ansonia,900901220.0,2012-2016,65+,With Private Health Insurance,Number,Margins of Error,228.0
Andover,901301080.0,2009-2013,Under 18,With Private Health Insurance,Number,Margins of Error,112.0
Ansonia,900901220.0,2010-2014,18-64,Without Health Insurance,Number,Health Insurance,1766.0
Ansonia,900901220.0,2008-2012,Under 18,With Private Health Insurance,Percent,Health Insurance,50.9
Andover,901301080.0,2008-2012,18-64,With Public Health Insurance,Number,Margins of Error,59.0
Andover,901301080.0,2011-2015,65+,With Private Health Insurance,Number,Margins of Error,98.0
Ansonia,900901220.0,2010-2014,65+,With Private Health Insurance,Number,Health Insurance,1541.0
Ansonia,900901220.0,2011-2015,All,With Public Health Insurance,Percent,Margins of Error,3.7
Andover,901301080.0,2014-2018,65+,With Private Health Insurance,Percent,Margins of Error,21.7
Ansonia,900901220.0,2009-2013,All,With Private Health Insurance,Percent,Health Insurance,61.9
Ansonia,900901220.0,2008-2012,Under 18,Without Health Insurance,Number,Health Insurance,370.0
Andover,901301080.0,2015-2019,65+,Without Health Insurance,Percent,Health Insurance,0.0
Andover,901301080.0,2015-2019,All,With Public Health Insurance,Number,Health Insurance,675.0
Andover,901301080.0,2014-2018,Under 18,With Public Health Insurance,Percent,Health Insurance,12.2
